"범죄별(1)","범죄별(2)",범죄별(3),발생지역별(1),2020
"형법범 (건)","강력범죄(폭력)",상해,충남,1886
"형법범 (건)","강력범죄(폭력)",상해,전북,1409
"형법범 (건)","강력범죄(폭력)",상해,전남,1786
"형법범 (건)","강력범죄(폭력)",상해,경북,2497
"형법범 (건)","강력범죄(폭력)",상해,경남,3697
"형법범 (건)","강력범죄(폭력)",상해,제주,812
"형법범 (건)","강력범죄(폭력)",협박,계,21814
"형법범 (건)","강력범죄(폭력)",협박,서울,4040
"형법범 (건)","강력범죄(폭력)",협박,부산,1461
"형법범 (건)","강력범죄(폭력)",협박,대구,980
"형법범 (건)","강력범죄(폭력)",협박,인천,1359
"형법범 (건)","강력범죄(폭력)",협박,광주,542
"형법범 (건)","강력범죄(폭력)",협박,대전,729
"형법범 (건)","강력범죄(폭력)",협박,울산,238
"형법범 (건)","강력범죄(폭력)",협박,세종,92
"형법범 (건)","강력범죄(폭력)",협박,경기,5958
"형법범 (건)","강력범죄(폭력)",협박,강원,674
"형법범 (건)","강력범죄(폭력)",협박,충북,672
"형법범 (건)","강력범죄(폭력)",협박,충남,899
"형법범 (건)","강력범죄(폭력)",협박,전북,552
"형법범 (건)","강력범죄(폭력)",협박,전남,809
"형법범 (건)","강력범죄(폭력)",협박,경북,966
"형법범 (건)","강력범죄(폭력)",협박,경남,1358
"형법범 (건)","강력범죄(폭력)",협박,제주,485
"형법범 (건)","강력범죄(폭력)",공갈,계,5993
"형법범 (건)","강력범죄(폭력)",공갈,서울,1060
"형법범 (건)","강력범죄(폭력)",공갈,부산,409
"형법범 (건)","강력범죄(폭력)",공갈,대구,223
"형법범 (건)","강력범죄(폭력)",공갈,인천,473
"형법범 (건)","강력범죄(폭력)",공갈,광주,135
"형법범 (건)","강력범죄(폭력)",공갈,대전,178
"형법범 (건)","강력범죄(폭력)",공갈,울산,67
"형법범 (건)","강력범죄(폭력)",공갈,세종,26
"형법범 (건)","강력범죄(폭력)",공갈,경기,1459
"형법범 (건)","강력범죄(폭력)",공갈,강원,140
"형법범 (건)","강력범죄(폭력)",공갈,충북,238
"형법범 (건)","강력범죄(폭력)",공갈,충남,238
"형법범 (건)","강력범죄(폭력)",공갈,전북,236
"형법범 (건)","강력범죄(폭력)",공갈,전남,218
"형법범 (건)","강력범죄(폭력)",공갈,경북,289
"형법범 (건)","강력범죄(폭력)",공갈,경남,505
"형법범 (건)","강력범죄(폭력)",공갈,제주,99
"형법범 (건)","강력범죄(폭력)",약취와 유인,계,223
"형법범 (건)","강력범죄(폭력)",약취와 유인,서울,54
"형법범 (건)","강력범죄(폭력)",약취와 유인,부산,11
"형법범 (건)","강력범죄(폭력)",약취와 유인,대구,3
"형법범 (건)","강력범죄(폭력)",약취와 유인,인천,13
"형법범 (건)","강력범죄(폭력)",약취와 유인,광주,6
"형법범 (건)","강력범죄(폭력)",약취와 유인,대전,7
"형법범 (건)","강력범죄(폭력)",약취와 유인,울산,4
"형법범 (건)","강력범죄(폭력)",약취와 유인,세종,1
"형법범 (건)","강력범죄(폭력)",약취와 유인,경기,64
"형법범 (건)","강력범죄(폭력)",약취와 유인,강원,3
"형법범 (건)","강력범죄(폭력)",약취와 유인,충북,9
"형법범 (건)","강력범죄(폭력)",약취와 유인,충남,9
"형법범 (건)","강력범죄(폭력)",약취와 유인,전북,4
"형법범 (건)","강력범죄(폭력)",약취와 유인,전남,12
"형법범 (건)","강력범죄(폭력)",약취와 유인,경북,6
"형법범 (건)","강력범죄(폭력)",약취와 유인,경남,12
"형법범 (건)","강력범죄(폭력)",약취와 유인,제주,5
"형법범 (건)","강력범죄(폭력)",체포와 감금,계,1467
"형법범 (건)","강력범죄(폭력)",체포와 감금,서울,262
"형법범 (건)","강력범죄(폭력)",체포와 감금,부산,101
"형법범 (건)","강력범죄(폭력)",체포와 감금,대구,59
"형법범 (건)","강력범죄(폭력)",체포와 감금,인천,124
"형법범 (건)","강력범죄(폭력)",체포와 감금,광주,46
"형법범 (건)","강력범죄(폭력)",체포와 감금,대전,38
"형법범 (건)","강력범죄(폭력)",체포와 감금,울산,16
"형법범 (건)","강력범죄(폭력)",체포와 감금,세종,3
"형법범 (건)","강력범죄(폭력)",체포와 감금,경기,349
"형법범 (건)","강력범죄(폭력)",체포와 감금,강원,34
"형법범 (건)","강력범죄(폭력)",체포와 감금,충북,57
"형법범 (건)","강력범죄(폭력)",체포와 감금,충남,78
"형법범 (건)","강력범죄(폭력)",체포와 감금,전북,45
"형법범 (건)","강력범죄(폭력)",체포와 감금,전남,50
"형법범 (건)","강력범죄(폭력)",체포와 감금,경북,74
"형법범 (건)","강력범죄(폭력)",체포와 감금,경남,110
"형법범 (건)","강력범죄(폭력)",체포와 감금,제주,21
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),계,982
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),서울,176
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),부산,67
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),대구,35
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),인천,58
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),광주,30
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),대전,21
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),울산,9
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),세종,9
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),경기,226
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),강원,36
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),충북,22
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),충남,37
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),전북,43
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),전남,41
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),경북,63
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),경남,86
"형법범 (건)","강력범죄(폭력)",폭력행위등(손괴강요주거침입등),제주,23
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),계,140
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),서울,17
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),부산,4
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),대구,3
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),인천,6
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),광주,8
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),대전,-
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),울산,1
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),세종,-
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),경기,31
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),강원,1
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),충북,14
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),충남,2
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),전북,31
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),전남,4
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),경북,13
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),경남,4
"형법범 (건)","강력범죄(폭력)",폭력행위등(단체등의구성 활동),제주,1
"형법범 (건)","위조범죄",소계,계,15614
"형법범 (건)","위조범죄",소계,서울,3432
"형법범 (건)","위조범죄",소계,부산,1150
"형법범 (건)","위조범죄",소계,대구,772
"형법범 (건)","위조범죄",소계,인천,841
"형법범 (건)","위조범죄",소계,광주,610
"형법범 (건)","위조범죄",소계,대전,483
"형법범 (건)","위조범죄",소계,울산,184
"형법범 (건)","위조범죄",소계,세종,72
"형법범 (건)","위조범죄",소계,경기,3437
"형법범 (건)","위조범죄",소계,강원,415
"형법범 (건)","위조범죄",소계,충북,476
"형법범 (건)","위조범죄",소계,충남,646
"형법범 (건)","위조범죄",소계,전북,583
"형법범 (건)","위조범죄",소계,전남,521
"형법범 (건)","위조범죄",소계,경북,647
"형법범 (건)","위조범죄",소계,경남,1122
"형법범 (건)","위조범죄",소계,제주,223
