"죄종별","범죄발생지별","항목","단위","2016 년","2017 년","2018 년","2019 년","2020 년",
"살인기수","전주시","범죄건수[건]","건","3","3","5","4","4",
"살인기수","정읍시","범죄건수[건]","건","-","-","1","1","2",
"살인기수","광양시","범죄건수[건]","건","-","-","1","-","2",
"살인기수","나주시","범죄건수[건]","건","-","-","-","1","3",
"살인기수","목포시","범죄건수[건]","건","1","2","2","-","-",
"살인기수","순천시","범죄건수[건]","건","3","1","-","1","2",
"살인기수","여수시","범죄건수[건]","건","3","1","4","2","3",
"살인기수","경산시","범죄건수[건]","건","2","-","-","2","1",
"살인기수","경주시","범죄건수[건]","건","3","3","-","2","1",
"살인기수","구미시","범죄건수[건]","건","1","6","3","3","-",
"살인기수","김천시","범죄건수[건]","건","1","2","-","-","-",
"살인기수","문경시","범죄건수[건]","건","-","-","1","1","-",
"살인기수","상주시","범죄건수[건]","건","-","2","-","-","1",
"살인기수","안동시","범죄건수[건]","건","1","1","-","1","2",
"살인기수","영주시","범죄건수[건]","건","1","1","-","-","1",
"살인기수","영천시","범죄건수[건]","건","2","1","1","1","1",
"살인기수","포항시","범죄건수[건]","건","5","2","5","3","3",
"살인기수","거제시","범죄건수[건]","건","2","3","2","2","2",
"살인기수","김해시","범죄건수[건]","건","5","3","4","2","7",
"살인기수","밀양시","범죄건수[건]","건","2","-","-","1","-",
"살인기수","사천시","범죄건수[건]","건","-","2","1","-","2",
"살인기수","양산시","범죄건수[건]","건","3","2","2","1","4",
"살인기수","진주시","범죄건수[건]","건","2","1","4","2","4",
"살인기수","창원시","범죄건수[건]","건","3","9","4","8","4",
"살인기수","통영시","범죄건수[건]","건","-","1","-","-","-",
"살인기수","서귀포시","범죄건수[건]","건","-","-","3","1","3",
"살인기수","제주시","범죄건수[건]","건","4","4","5","7","5",
"살인기수","기타도시","범죄건수[건]","건","2","1","-","1","4",
"살인기수","도시이외","범죄건수[건]","건","51","46","32","24","21",
"살인미수등","계","범죄건수[건]","건","558","524","488","482","416",
"살인미수등","서울","범죄건수[건]","건","100","91","97","89","88",
"살인미수등","부산","범죄건수[건]","건","43","41","27","42","30",
"살인미수등","대구","범죄건수[건]","건","12","30","21","27","13",
"살인미수등","인천","범죄건수[건]","건","28","24","21","28","25",
"살인미수등","광주","범죄건수[건]","건","8","6","8","5","3",
"살인미수등","대전","범죄건수[건]","건","9","14","11","11","9",
"살인미수등","울산","범죄건수[건]","건","15","12","2","9","6",
"살인미수등","세종","범죄건수[건]","건","1","5","3","1","4",
"살인미수등","고양시","범죄건수[건]","건","5","5","10","6","2",
"살인미수등","과천시","범죄건수[건]","건","1","-","-","1","-",
"살인미수등","광명시","범죄건수[건]","건","1","-","1","-","2",
"살인미수등","광주시","범죄건수[건]","건","10","5","4","1","1",
"살인미수등","구리시","범죄건수[건]","건","5","4","2","-","1",
"살인미수등","군포시","범죄건수[건]","건","1","2","3","3","-",
"살인미수등","김포시","범죄건수[건]","건","2","2","1","4","-",
"살인미수등","남양주시","범죄건수[건]","건","7","8","4","8","4",
"살인미수등","동두천시","범죄건수[건]","건","-","-","-","1","-",
"살인미수등","부천시","범죄건수[건]","건","11","1","8","10","6",
"살인미수등","성남시","범죄건수[건]","건","4","15","10","2","7",
"살인미수등","수원시","범죄건수[건]","건","19","12","9","11","5",
"살인미수등","시흥시","범죄건수[건]","건","7","4","7","2","8",
"살인미수등","안산시","범죄건수[건]","건","20","16","6","8","8",
"살인미수등","안성시","범죄건수[건]","건","4","1","3","2","4",
"살인미수등","안양시","범죄건수[건]","건","4","2","4","4","3",
"살인미수등","양주시","범죄건수[건]","건","2","1","3","2","3",
"살인미수등","여주시","범죄건수[건]","건","5","-","3","-","2",
"살인미수등","오산시","범죄건수[건]","건","4","6","4","-","1",
"살인미수등","용인시","범죄건수[건]","건","13","3","7","6","4",
